,Jogador,Campeonato,Rodada,Data,Mandante,Oponente,Posição,Minuto,Tipo,Assistido por
168,Ronaldo,Copa del Rey,Group Stage,2010-11-10,H,Real Murcia,,76,Left-footed shot,Ángel Di María
169,Ronaldo,LaLiga,Group Stage,2010-11-20,H,Athletic  ,LW,30,Left-footed shot,Mesut Özil
172,Ronaldo,Champions League,Group Stage,2010-11-23,A,Ajax,LW,70,Left-footed shot,Ángel Di María
174,Ronaldo,LaLiga,Group Stage,2010-12-04,H,Valencia  ,LW,72,Left-footed shot,Mesut Özil
176,Ronaldo,Champions League,Group Stage,2010-12-08,H,AJ Auxerre,LW,49,Right-footed shot,Marcelo
177,Ronaldo,LaLiga,Group Stage,2010-12-12,A,Real Zaragoza  ,LW,43,Direct free kick,
178,Ronaldo,Copa del Rey,Round of 16,2010-12-22,H,Levante,LW,44,Right-footed shot,Karim Benzema
181,Ronaldo,LaLiga,Group Stage,2011-01-03,A,Getafe  ,LW,11,Penalty,
183,Ronaldo,LaLiga,Group Stage,2011-01-09,H,Villarreal  ,LW,10,Right-footed shot,Mesut Özil
186,Ronaldo,Copa del Rey,Quarter-Finals,2011-01-13,H,Atlético Madrid,LW,60,Right-footed shot,Mesut Özil
187,Ronaldo,Copa del Rey,Quarter-Finals,2011-01-20,A,Atlético Madrid,CF,22,Right-footed shot,Sergio Ramos
188,Ronaldo,LaLiga,Group Stage,2011-02-06,H,Real Sociedad  ,LW,20,Left-footed shot,Kaká
190,Ronaldo,LaLiga,Group Stage,2011-03-03,H,Málaga CF  ,LW,50,Left-footed shot,Mesut Özil
193,Ronaldo,Champions League,Quarter-Finals,2011-04-05,H,Spurs,LW,87,Right-footed shot,Kaká
194,Ronaldo,LaLiga,Group Stage,2011-04-09,A,Athletic  ,,70,Right-footed shot,Esteban Granero
195,Ronaldo,Champions League,Quarter-Finals,2011-04-13,A,Spurs,RW,50,Right-footed shot,Sami Khedira
196,Ronaldo,LaLiga,Group Stage,2011-04-16,H,FC Barcelona  ,LW,82,Penalty,
197,Ronaldo,Copa del Rey,Final,2011-04-20,A,FC Barcelona,CF,103,Header,Ángel Di María
198,Ronaldo,LaLiga,Group Stage,2011-05-07,A,Sevilla FC  ,LW,30,Right-footed shot,Pepe
202,Ronaldo,LaLiga,Group Stage,2011-05-10,H,Getafe  ,LW,23,Header,Mesut Özil
205,Ronaldo,LaLiga,Group Stage,2011-05-15,A,Villarreal  ,CF,22,Direct free kick,
207,Ronaldo,LaLiga,Group Stage,2011-05-21,H,UD Almería  ,LW,4,Right-footed shot,Sergio Ramos
209,Ronaldo,Supercopa,Final,2011-08-17,A,FC Barcelona,LW,20,Right-footed shot,Karim Benzema
210,Ronaldo,LaLiga,Group Stage,2011-08-28,A,Real Zaragoza  ,LW,23,Left-footed shot,Mesut Özil
213,Ronaldo,LaLiga,Group Stage,2011-09-10,H,Getafe  ,LW,59,Penalty,
214,Ronaldo,LaLiga,Group Stage,2011-09-24,H,Rayo Vallecano  ,LW,39,Left-footed shot,Kaká
217,Ronaldo,Champions League,Group Stage,2011-09-27,H,Ajax,LW,25,Right-footed shot,Karim Benzema
218,Ronaldo,LaLiga,Group Stage,2011-10-22,A,Málaga CF  ,LW,24,Left-footed shot,Ángel Di María
221,Ronaldo,Champions League,Group Stage,2011-11-02,A,Olympique Lyon,LW,25,Direct free kick,
223,Ronaldo,LaLiga,Group Stage,2011-11-06,H,CA Osasuna  ,LW,23,Header,Ángel Di María
226,Ronaldo,LaLiga,Group Stage,2011-11-19,A,Valencia  ,LW,79,Right-footed shot,Pepe
227,Ronaldo,LaLiga,Group Stage,2011-11-26,H,Atlético Madrid  ,LW,24,Penalty,
229,Ronaldo,LaLiga,Group Stage,2011-12-03,A,Sporting Gijón  ,LW,65,Right-footed shot,Ángel Di María
230,Ronaldo,Copa del Rey,Group Stage,2011-12-13,A,Ponferradina,LW,74,Left-footed shot,Gonzalo Higuaín
231,Ronaldo,LaLiga,Group Stage,2011-12-17,A,Sevilla FC  ,LW,10,Right-footed shot,Ángel Di María
234,Ronaldo,LaLiga,Group Stage,2012-01-07,H,Granada CF  ,LW,89,Right-footed shot,
235,Ronaldo,Copa del Rey,Quarter-Finals,2012-01-18,H,FC Barcelona,LW,11,Left-footed shot,Karim Benzema
236,Ronaldo,LaLiga,Group Stage,2012-01-22,H,Athletic  ,LW,46,Penalty,
238,Ronaldo,Copa del Rey,Quarter-Finals,2012-01-25,A,FC Barcelona,LW,68,Right-footed shot,Mesut Özil
239,Ronaldo,LaLiga,Group Stage,2012-01-28,H,Real Zaragoza  ,LW,48,Right-footed shot,Mesut Özil
240,Ronaldo,LaLiga,Group Stage,2012-02-12,H,Levante  ,LW,45,Penalty,
243,Ronaldo,LaLiga,Group Stage,2012-02-18,H,Racing  ,LW,6,Header,Kaká
244,Ronaldo,Champions League,Round of 16,2012-02-21,A,CSKA Moscow,LW,28,Left-footed shot,Fábio Coentrão
245,Ronaldo,LaLiga,Group Stage,2012-02-26,A,Rayo Vallecano  ,LW,53,Right-footed shot,
246,Ronaldo,LaLiga,Group Stage,2012-03-04,H,Espanyol  ,LW,23,Left-footed shot,Gonzalo Higuaín
247,Ronaldo,LaLiga,Group Stage,2012-03-10,A,Real Betis  ,LW,52,Left-footed shot,Marcelo
249,Ronaldo,Champions League,Round of 16,2012-03-14,H,CSKA Moscow,LW,55,Right-footed shot,Sergio Ramos
251,Ronaldo,LaLiga,Group Stage,2012-03-21,A,Villarreal  ,LW,61,Right-footed shot,Mesut Özil
252,Ronaldo,LaLiga,Group Stage,2012-03-24,H,Real Sociedad  ,LW,32,Right-footed shot,Kaká
254,Ronaldo,LaLiga,Group Stage,2012-03-31,A,CA Osasuna  ,LW,37,Long distance kick,Xabi Alonso
256,Ronaldo,Champions League,Quarter-Finals,2012-04-04,H,APOEL Nicosia,LW,26,Right-footed shot,Marcelo
258,Ronaldo,LaLiga,Group Stage,2012-04-11,A,Atlético Madrid  ,LW,24,Direct free kick,
